basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,29,2012120200, 03,EE01,  0,6.1,137.5, 55, 984,XX
WP,29,2012120200, 03,ECMF,  0,6.1,137.5, 63, 985,XX
WP,29,2012120200, 03,EE02,  0,6.1,137.5, 52, 986,XX
WP,29,2012120200, 03,EE11,108,13.9,122.1, 37, 999,XX
WP,29,2012120200, 03,EE29,120,12.1,121.4, 38, 998,XX
WP,29,2012120200, 03,EE31,108,13.9,119.0, 42, 997,XX
WP,29,2012120200, 03,EE19,108,9.9,116.5, 43, 998,XX
WP,29,2012120200, 03,EE04,108,12.5,117.4, 44, 999,XX
WP,29,2012120200, 03,EE30,108,13.6,120.0, 48, 997,XX
WP,29,2012120200, 03,EE39,108,13.4,116.0, 53, 988,XX
WP,29,2012120200, 03,EE23,108,12.8,115.9, 55, 992,XX
WP,29,2012120200, 03,EE23,120,13.5,115.1, 56, 990,XX
WP,29,2012120200, 03,EE00,108,12.9,118.5, 58, 992,XX
WP,29,2012120200, 03,EE39,120,14.1,115.1, 59, 989,XX
WP,29,2012120200, 03,EE31,120,15.6,118.4, 61, 999,XX
WP,29,2012120200, 03,EE37,108,15.0,122.1, 63, 993,XX
WP,29,2012120200, 03,ECMF,120,13.9,117.5, 66, 981,XX
WP,29,2012120200, 03,ECMF,  6,6.4,136.5, 63, 983,XX
WP,29,2012120200, 03,ECMF,108,13.0,118.1, 68, 985,XX
WP,29,2012120200, 03,ECMF,114,13.4,117.8, 72, 986,XX
WP,29,2012120200, 03,ECMF,102,12.5,118.7, 75, 986,XX
WP,29,2012120200, 03,EE46,120,17.1,127.1, 83, 978,XX
WP,29,2012120200, 03,EE44, 12,5.9,135.4, 56, 992,XX
WP,29,2012120200, 03,EE27, 12,6.0,135.1, 52, 993,XX
WP,29,2012120200, 03,EE07, 12,6.0,135.0, 52, 994,XX
WP,29,2012120200, 03,EE47, 12,6.0,134.9, 45, 995,XX
WP,29,2012120200, 03,EE20, 12,6.1,135.0, 44,1000,XX
WP,29,2012120200, 03,EE01, 12,6.1,135.5, 56, 989,XX
WP,29,2012120200, 03,EE40, 12,6.1,135.1, 57, 994,XX
WP,29,2012120200, 03,EE16, 12,6.2,135.4, 61, 992,XX
WP,29,2012120200, 03,EE31, 12,6.3,135.5, 58, 992,XX
WP,29,2012120200, 03,EE04, 12,6.3,135.1, 49, 994,XX
WP,29,2012120200, 03,EE11, 12,6.4,135.6, 57, 989,XX
WP,29,2012120200, 03,EE37, 12,6.4,135.5, 55, 992,XX
WP,29,2012120200, 03,EE24, 12,6.4,135.3, 54, 993,XX
WP,29,2012120200, 03,EE36, 12,6.4,135.5, 53, 994,XX
WP,29,2012120200, 03,EE09, 12,6.4,135.0, 48, 995,XX
WP,29,2012120200, 03,EE38, 12,6.4,135.5, 47, 996,XX
WP,29,2012120200, 03,EE06, 12,6.4,135.1, 44, 997,XX
WP,29,2012120200, 03,EE29, 12,6.4,135.6, 46, 998,XX
WP,29,2012120200, 03,EE34, 12,6.4,135.1, 42, 999,XX
WP,29,2012120200, 03,EE02, 12,6.5,134.4, 34,1001,XX
WP,29,2012120200, 03,ECMF, 12,6.5,135.5, 71, 979,XX
WP,29,2012120200, 03,EE30, 12,6.5,135.6, 58, 990,XX
WP,29,2012120200, 03,EE22, 12,6.5,135.5, 49, 992,XX
